# Using Alexa.com's public tool: http://www.alexa.com/siteinfo/,,
URL,Organization Name,Global Rank on Alexa.com
ReliefWeb.int,ReliefWeb,"26,229"
WFP.org,World Food Program,"43,042"
UNICEF.org,United Nations Children's Fund,"14,977"
RedCross.org,Red Cross,"12,930"
ICRC.org,International Committee of the Red Cross,"93,154"
UNOCHA.org,United Nations Office for the Coordination of Humanitarian Affairs,"280,946"
IFRC.org,International Federation of the Red Cross and Red Crescent Societies,"117,724"
HumanitarianResponse.info,UNOCHA's Humanitarian Response portal,"468,906"
UNHCR.org,United Nations High Commisioner for Refugees,"58,127"
UN.org,United Nations main website,"3,250"
oxfam.org,Oxfam,"92,402"
MSF.org,Medicins Sans Frontiéres,"170,970"
rescue.org,International Rescue Committee,"65,657"
islamic-relief.com,Islamic Relief,"365,847"
mercycorps.org,Mercy Corps,"146,315"
savethechildren.net,Save the Children,"167,278"
wvi.org,World Vision,"175,963"
